epoch, i, loss
8, 27, 0.9846
8, 28, 0.9791
8, 29, 0.9830
8, 30, 0.9818
8, 31, 0.9810
8, 32, 0.9799
8, 33, 0.9817
8, 34, 0.9834
8, 35, 0.9795
8, 36, 0.9813
8, 37, 0.9811
8, 38, 0.9795
8, 39, 0.9810
8, 40, 0.9807
8, 41, 0.9793
8, 42, 0.9799
9, 0, 0.9813
9, 1, 0.9826
9, 2, 0.9814
9, 3, 0.9810
9, 4, 0.9859
9, 5, 0.9809
9, 6, 0.9811
9, 7, 0.9824
9, 8, 0.9827
9, 9, 0.9810
9, 10, 0.9800
9, 11, 0.9779
9, 12, 0.9816
9, 13, 0.9798
9, 14, 0.9831
9, 15, 0.9821
9, 16, 0.9828
9, 17, 0.9802
9, 18, 0.9801
9, 19, 0.9813
9, 20, 0.9793
9, 21, 0.9814
9, 22, 0.9822
9, 23, 0.9816
9, 24, 0.9821
9, 25, 0.9816
9, 26, 0.9805
9, 27, 0.9803
9, 28, 0.9826
9, 29, 0.9805
9, 30, 0.9794
9, 31, 0.9804
9, 32, 0.9805
9, 33, 0.9828
9, 34, 0.9793
9, 35, 0.9823
9, 36, 0.9795
9, 37, 0.9818
9, 38, 0.9810
9, 39, 0.9802
9, 40, 0.9768
9, 41, 0.9805
9, 42, 0.9804
10, 0, 0.9816
10, 1, 0.9811
10, 2, 0.9802
10, 3, 0.9819
10, 4, 0.9810
10, 5, 0.9801
10, 6, 0.9807
10, 7, 0.9815
10, 8, 0.9786
10, 9, 0.9817
10, 10, 0.9797
10, 11, 0.9808
10, 12, 0.9813
10, 13, 0.9809
10, 14, 0.9801
10, 15, 0.9811
10, 16, 0.9800
10, 17, 0.9805
10, 18, 0.9804
10, 19, 0.9807
10, 20, 0.9802
10, 21, 0.9821
10, 22, 0.9809
10, 23, 0.9818
10, 24, 0.9815
10, 25, 0.9812
10, 26, 0.9796
10, 27, 0.9810
10, 28, 0.9793
10, 29, 0.9796
10, 30, 0.9813
10, 31, 0.9797
10, 32, 0.9806
10, 33, 0.9800
10, 34, 0.9800
10, 35, 0.9804
10, 36, 0.9818
10, 37, 0.9785
10, 38, 0.9789
10, 39, 0.9795
10, 40, 0.9791
10, 41, 0.9806
10, 42, 0.9809
11, 0, 0.9790
11, 1, 0.9778
11, 2, 0.9800
11, 3, 0.9765
11, 4, 0.9775
11, 5, 0.9817
11, 6, 0.9812
11, 7, 0.9811
11, 8, 0.9803
11, 9, 0.9791
11, 10, 0.9801
11, 11, 0.9827
11, 12, 0.9810
11, 13, 0.9811
11, 14, 0.9799
11, 15, 0.9819
11, 16, 0.9786
11, 17, 0.9824
11, 18, 0.9818
11, 19, 0.9799
11, 20, 0.9791
11, 21, 0.9828
11, 22, 0.9807
11, 23, 0.9801
11, 24, 0.9821
11, 25, 0.9798
11, 26, 0.9807
11, 27, 0.9786
11, 28, 0.9778
11, 29, 0.9785
11, 30, 0.9787
11, 31, 0.9799
11, 32, 0.9788
11, 33, 0.9811
11, 34, 0.9804
11, 35, 0.9806
11, 36, 0.9793
11, 37, 0.9802
11, 38, 0.9801
11, 39, 0.9809
11, 40, 0.9785
11, 41, 0.9801
11, 42, 0.9783
12, 0, 0.9780
12, 1, 0.9809
12, 2, 0.9795
12, 3, 0.9784
12, 4, 0.9801
12, 5, 0.9781
12, 6, 0.9822
12, 7, 0.9783
12, 8, 0.9807
12, 9, 0.9782
12, 10, 0.9785
12, 11, 0.9779
12, 12, 0.9781
12, 13, 0.9781
12, 14, 0.9802
12, 15, 0.9776
12, 16, 0.9801
12, 17, 0.9821
12, 18, 0.9807
12, 19, 0.9809
12, 20, 0.9803
12, 21, 0.9801
12, 22, 0.9809
12, 23, 0.9812
12, 24, 0.9782
12, 25, 0.9830
12, 26, 0.9813
12, 27, 0.9785
12, 28, 0.9805
12, 29, 0.9794
12, 30, 0.9812
12, 31, 0.9770
12, 32, 0.9786
12, 33, 0.9801
12, 34, 0.9785
12, 35, 0.9805
12, 36, 0.9784
12, 37, 0.9779
12, 38, 0.9787
12, 39, 0.9790
12, 40, 0.9798
12, 41, 0.9815
12, 42, 0.9820
13, 0, 0.9791
13, 1, 0.9783
13, 2, 0.9788
13, 3, 0.9804
13, 4, 0.9794
13, 5, 0.9820
13, 6, 0.9807
13, 7, 0.9807
13, 8, 0.9808
13, 9, 0.9793
13, 10, 0.9808
13, 11, 0.9787
13, 12, 0.9785
13, 13, 0.9785
13, 14, 0.9802
13, 15, 0.9782
13, 16, 0.9781
13, 17, 0.9802
13, 18, 0.9777
13, 19, 0.9810
13, 20, 0.9768
13, 21, 0.9782
13, 22, 0.9775
13, 23, 0.9777
13, 24, 0.9794
13, 25, 0.9774
13, 26, 0.9787
13, 27, 0.9790
13, 28, 0.9789
13, 29, 0.9783
13, 30, 0.9780
13, 31, 0.9775
13, 32, 0.9801
13, 33, 0.9819
13, 34, 0.9803
13, 35, 0.9804
13, 36, 0.9777
13, 37, 0.9807
13, 38, 0.9776
13, 39, 0.9800
13, 40, 0.9790
13, 41, 0.9800
13, 42, 0.9763
14, 0, 0.9786
14, 1, 0.9793
14, 2, 0.9770
14, 3, 0.9783
14, 4, 0.9777
14, 5, 0.9789
14, 6, 0.9794
14, 7, 0.9815
14, 8, 0.9797
14, 9, 0.9806
14, 10, 0.9807
14, 11, 0.9799
14, 12, 0.9789
14, 13, 0.9767
14, 14, 0.9767
14, 15, 0.9786
14, 16, 0.9815
14, 17, 0.9765
14, 18, 0.9791
14, 19, 0.9781
14, 20, 0.9771
14, 21, 0.9767
14, 22, 0.9780
14, 23, 0.9796
14, 24, 0.9779
14, 25, 0.9801
14, 26, 0.9777
14, 27, 0.9778
14, 28, 0.9776
14, 29, 0.9797
14, 30, 0.9779
14, 31, 0.9803
14, 32, 0.9781
14, 33, 0.9783
14, 34, 0.9783
14, 35, 0.9770
14, 36, 0.9783
14, 37, 0.9791
14, 38, 0.9774
14, 39, 0.9805
14, 40, 0.9800
14, 41, 0.9773
14, 42, 0.9777
15, 0, 0.9800
15, 1, 0.9784
15, 2, 0.9776
15, 3, 0.9776
15, 4, 0.9784
15, 5, 0.9777
15, 6, 0.9776
15, 7, 0.9766
15, 8, 0.9793
15, 9, 0.9777
15, 10, 0.9768
15, 11, 0.9812
15, 12, 0.9794
15, 13, 0.9775
15, 14, 0.9789
15, 15, 0.9767
15, 16, 0.9795
15, 17, 0.9766
15, 18, 0.9761
15, 19, 0.9796
15, 20, 0.9794
15, 21, 0.9776
15, 22, 0.9794
15, 23, 0.9783
15, 24, 0.9771
15, 25, 0.9786
15, 26, 0.9771
15, 27, 0.9764
15, 28, 0.9790
15, 29, 0.9788
15, 30, 0.9754
15, 31, 0.9778
15, 32, 0.9781
15, 33, 0.9767
15, 34, 0.9794
15, 35, 0.9776
15, 36, 0.9794
15, 37, 0.9775
15, 38, 0.9798
15, 39, 0.9789
15, 40, 0.9776
15, 41, 0.9767
15, 42, 0.9806
16, 0, 0.9787
16, 1, 0.9768
16, 2, 0.9763
16, 3, 0.9776
16, 4, 0.9757
16, 5, 0.9747
16, 6, 0.9785
16, 7, 0.9772
16, 8, 0.9798
16, 9, 0.9775
16, 10, 0.9770
16, 11, 0.9794
16, 12, 0.9776
16, 13, 0.9769
16, 14, 0.9796
16, 15, 0.9793
16, 16, 0.9780
16, 17, 0.9799
16, 18, 0.9750
16, 19, 0.9770
16, 20, 0.9769
16, 21, 0.9779
16, 22, 0.9779
16, 23, 0.9784
16, 24, 0.9782
16, 25, 0.9780
16, 26, 0.9768
16, 27, 0.9782
16, 28, 0.9775
16, 29, 0.9762
16, 30, 0.9783
16, 31, 0.9788
16, 32, 0.9769
16, 33, 0.9775
16, 34, 0.9779
16, 35, 0.9790
16, 36, 0.9777
16, 37, 0.9781
16, 38, 0.9787
16, 39, 0.9764
16, 40, 0.9779
16, 41, 0.9778
16, 42, 0.9788
17, 0, 0.9782
17, 1, 0.9803
17, 2, 0.9773
17, 3, 0.9761
17, 4, 0.9772
17, 5, 0.9787
17, 6, 0.9790
17, 7, 0.9780
17, 8, 0.9771
17, 9, 0.9773
17, 10, 0.9761
17, 11, 0.9729
17, 12, 0.9756
17, 13, 0.9750
17, 14, 0.9787
17, 15, 0.9819
17, 16, 0.9786
17, 17, 0.9787
17, 18, 0.9771
17, 19, 0.9753
17, 20, 0.9766
17, 21, 0.9778
17, 22, 0.9791
17, 23, 0.9769
17, 24, 0.9752
17, 25, 0.9788
17, 26, 0.9787
17, 27, 0.9771
17, 28, 0.9789
17, 29, 0.9765
17, 30, 0.9771
17, 31, 0.9768
17, 32, 0.9778
17, 33, 0.9775
17, 34, 0.9775
17, 35, 0.9769
17, 36, 0.9775
17, 37, 0.9761
17, 38, 0.9742
17, 39, 0.9772
17, 40, 0.9782
17, 41, 0.9762
17, 42, 0.9785
18, 0, 0.9773
18, 1, 0.9751
18, 2, 0.9777
18, 3, 0.9754
18, 4, 0.9730
18, 5, 0.9787
18, 6, 0.9766
18, 7, 0.9790
18, 8, 0.9793
18, 9, 0.9781
18, 10, 0.9754
18, 11, 0.9791
18, 12, 0.9775
18, 13, 0.9765
18, 14, 0.9799
18, 15, 0.9765
18, 16, 0.9750
18, 17, 0.9796
18, 18, 0.9760
18, 19, 0.9758
18, 20, 0.9785
18, 21, 0.9744
18, 22, 0.9779
18, 23, 0.9797
18, 24, 0.9746
18, 25, 0.9780
18, 26, 0.9762
18, 27, 0.9763
18, 28, 0.9735
18, 29, 0.9790
18, 30, 0.9761
18, 31, 0.9766
18, 32, 0.9764
18, 33, 0.9768
18, 34, 0.9764
18, 35, 0.9758
18, 36, 0.9760
18, 37, 0.9751
18, 38, 0.9790
18, 39, 0.9778
18, 40, 0.9775
18, 41, 0.9757
18, 42, 0.9784
19, 0, 0.9750
19, 1, 0.9769
19, 2, 0.9752
19, 3, 0.9775
19, 4, 0.9762
19, 5, 0.9759
19, 6, 0.9787
19, 7, 0.9775
19, 8, 0.9781
19, 9, 0.9796
19, 10, 0.9791
19, 11, 0.9793
19, 12, 0.9772
19, 13, 0.9763
19, 14, 0.9765
19, 15, 0.9765
19, 16, 0.9749
19, 17, 0.9767
19, 18, 0.9735
19, 19, 0.9786
19, 20, 0.9741
19, 21, 0.9776
19, 22, 0.9758
19, 23, 0.9758
19, 24, 0.9784
19, 25, 0.9777
19, 26, 0.9740
19, 27, 0.9778
19, 28, 0.9762
19, 29, 0.9777
19, 30, 0.9754
19, 31, 0.9771
19, 32, 0.9777
19, 33, 0.9771
19, 34, 0.9795
19, 35, 0.9764
19, 36, 0.9745
19, 37, 0.9767
19, 38, 0.9738
19, 39, 0.9766
19, 40, 0.9767
19, 41, 0.9754
19, 42, 0.9783
20, 0, 0.9766
20, 1, 0.9781
20, 2, 0.9753
20, 3, 0.9742
20, 4, 0.9773
20, 5, 0.9742
20, 6, 0.9770
20, 7, 0.9751
20, 8, 0.9760
20, 9, 0.9780
20, 10, 0.9794
20, 11, 0.9796
20, 12, 0.9770
20, 13, 0.9734
20, 14, 0.9765
20, 15, 0.9767
20, 16, 0.9725
20, 17, 0.9741
20, 18, 0.9776
20, 19, 0.9746
20, 20, 0.9759
20, 21, 0.9766
20, 22, 0.9762
20, 23, 0.9785
20, 24, 0.9752
20, 25, 0.9790
20, 26, 0.9765
20, 27, 0.9752
20, 28, 0.9764
20, 29, 0.9773
20, 30, 0.9755
20, 31, 0.9775
20, 32, 0.9753
20, 33, 0.9780
20, 34, 0.9735
20, 35, 0.9778
20, 36, 0.9759
20, 37, 0.9756
20, 38, 0.9765
20, 39, 0.9763
20, 40, 0.9769
20, 41, 0.9738
20, 42, 0.9762
21, 0, 0.9745
21, 1, 0.9768
21, 2, 0.9752
21, 3, 0.9762
21, 4, 0.9789
21, 5, 0.9762
21, 6, 0.9755
21, 7, 0.9779
21, 8, 0.9769
21, 9, 0.9753
21, 10, 0.9749
21, 11, 0.9777
21, 12, 0.9748
21, 13, 0.9758
21, 14, 0.9780
21, 15, 0.9754
21, 16, 0.9762
21, 17, 0.9734
21, 18, 0.9759
21, 19, 0.9748
21, 20, 0.9774
21, 21, 0.9746
21, 22, 0.9753
21, 23, 0.9761
21, 24, 0.9763
21, 25, 0.9759
21, 26, 0.9779
21, 27, 0.9774
21, 28, 0.9718
21, 29, 0.9757
21, 30, 0.9771
21, 31, 0.9753
21, 32, 0.9750
21, 33, 0.9753
21, 34, 0.9746
21, 35, 0.9762
21, 36, 0.9781
21, 37, 0.9741
21, 38, 0.9754
21, 39, 0.9747
21, 40, 0.9752
21, 41, 0.9800
21, 42, 0.9763
22, 0, 0.9748
22, 1, 0.9732
22, 2, 0.9755
22, 3, 0.9759
22, 4, 0.9771
22, 5, 0.9770
22, 6, 0.9774
22, 7, 0.9745
22, 8, 0.9761
22, 9, 0.9791
22, 10, 0.9768
22, 11, 0.9752
22, 12, 0.9736
22, 13, 0.9762
22, 14, 0.9710
22, 15, 0.9785
22, 16, 0.9765
22, 17, 0.9753
22, 18, 0.9778
22, 19, 0.9750
22, 20, 0.9753
22, 21, 0.9730
22, 22, 0.9736
22, 23, 0.9722
22, 24, 0.9770
22, 25, 0.9780
22, 26, 0.9761
22, 27, 0.9761
22, 28, 0.9756
22, 29, 0.9758
22, 30, 0.9734
22, 31, 0.9746
22, 32, 0.9760
22, 33, 0.9740
22, 34, 0.9752
22, 35, 0.9756
22, 36, 0.9779
22, 37, 0.9752
22, 38, 0.9788
22, 39, 0.9758
22, 40, 0.9743
22, 41, 0.9764
22, 42, 0.9749
23, 0, 0.9752
23, 1, 0.9780
23, 2, 0.9774
23, 3, 0.9761
23, 4, 0.9738
23, 5, 0.9748
23, 6, 0.9767
23, 7, 0.9747
23, 8, 0.9769
23, 9, 0.9760
23, 10, 0.9768
23, 11, 0.9757
23, 12, 0.9758
23, 13, 0.9752
23, 14, 0.9744
23, 15, 0.9743
23, 16, 0.9769
23, 17, 0.9768
23, 18, 0.9735
23, 19, 0.9760
23, 20, 0.9750
23, 21, 0.9784
23, 22, 0.9742
23, 23, 0.9767
23, 24, 0.9738
23, 25, 0.9737
23, 26, 0.9746
23, 27, 0.9779
23, 28, 0.9764
23, 29, 0.9740
23, 30, 0.9749
23, 31, 0.9718
23, 32, 0.9759
23, 33, 0.9724
23, 34, 0.9729
23, 35, 0.9762
23, 36, 0.9744
23, 37, 0.9748
23, 38, 0.9755
23, 39, 0.9739
23, 40, 0.9762
23, 41, 0.9768
23, 42, 0.9760
24, 0, 0.9751
24, 1, 0.9736
24, 2, 0.9739
24, 3, 0.9764
24, 4, 0.9763
24, 5, 0.9761
24, 6, 0.9733
24, 7, 0.9755
24, 8, 0.9751
24, 9, 0.9732
24, 10, 0.9764
24, 11, 0.9721
24, 12, 0.9757
24, 13, 0.9740
24, 14, 0.9716
24, 15, 0.9757
24, 16, 0.9738
24, 17, 0.9759
24, 18, 0.9751
24, 19, 0.9730
24, 20, 0.9756
24, 21, 0.9768
24, 22, 0.9736
24, 23, 0.9776
24, 24, 0.9743
24, 25, 0.9726
24, 26, 0.9735
24, 27, 0.9734
24, 28, 0.9769
24, 29, 0.9749
24, 30, 0.9770
24, 31, 0.9769
24, 32, 0.9776
24, 33, 0.9764
24, 34, 0.9759
24, 35, 0.9754
24, 36, 0.9737
24, 37, 0.9760
24, 38, 0.9762
24, 39, 0.9779
24, 40, 0.9743
24, 41, 0.9724
24, 42, 0.9766
25, 0, 0.9738
25, 1, 0.9793
25, 2, 0.9766
25, 3, 0.9769
25, 4, 0.9737
25, 5, 0.9750
25, 6, 0.9730
25, 7, 0.9745
25, 8, 0.9750
25, 9, 0.9768
25, 10, 0.9719
25, 11, 0.9735
25, 12, 0.9750
25, 13, 0.9774
25, 14, 0.9771
25, 15, 0.9764
25, 16, 0.9732
25, 17, 0.9776
25, 18, 0.9735
25, 19, 0.9750
25, 20, 0.9752
25, 21, 0.9750
25, 22, 0.9731
25, 23, 0.9764
25, 24, 0.9739
25, 25, 0.9733
25, 26, 0.9754
25, 27, 0.9738
25, 28, 0.9727
25, 29, 0.9756
25, 30, 0.9757
25, 31, 0.9744
25, 32, 0.9761
25, 33, 0.9747
25, 34, 0.9705
25, 35, 0.9742
25, 36, 0.9762
25, 37, 0.9737
25, 38, 0.9732
25, 39, 0.9733
25, 40, 0.9752
25, 41, 0.9743
25, 42, 0.9745
26, 0, 0.9730
26, 1, 0.9728
26, 2, 0.9745
26, 3, 0.9740
26, 4, 0.9741
26, 5, 0.9751
26, 6, 0.9772
26, 7, 0.9732
26, 8, 0.9767
26, 9, 0.9754
26, 10, 0.9741
26, 11, 0.9774
26, 12, 0.9742
26, 13, 0.9757
26, 14, 0.9749
26, 15, 0.9757
26, 16, 0.9722
26, 17, 0.9757
26, 18, 0.9733
26, 19, 0.9748
26, 20, 0.9750
26, 21, 0.9743
26, 22, 0.9741
26, 23, 0.9745
26, 24, 0.9744
26, 25, 0.9766
26, 26, 0.9731
26, 27, 0.9763
26, 28, 0.9741
26, 29, 0.9754
26, 30, 0.9722
26, 31, 0.9737
26, 32, 0.9716
26, 33, 0.9731
26, 34, 0.9722
26, 35, 0.9748
26, 36, 0.9735
26, 37, 0.9740
26, 38, 0.9753
26, 39, 0.9746
26, 40, 0.9786
26, 41, 0.9726
26, 42, 0.9728
27, 0, 0.9739
27, 1, 0.9742
27, 2, 0.9746
27, 3, 0.9735
27, 4, 0.9724
27, 5, 0.9731
27, 6, 0.9734
27, 7, 0.9732
27, 8, 0.9749
27, 9, 0.9740
27, 10, 0.9729
27, 11, 0.9763
27, 12, 0.9752
27, 13, 0.9770
27, 14, 0.9737
27, 15, 0.9752
27, 16, 0.9761
27, 17, 0.9737
27, 18, 0.9764
27, 19, 0.9745
27, 20, 0.9741
27, 21, 0.9764
27, 22, 0.9733
27, 23, 0.9735
27, 24, 0.9775
27, 25, 0.9737
27, 26, 0.9739
27, 27, 0.9752
27, 28, 0.9729
27, 29, 0.9753
27, 30, 0.9739
27, 31, 0.9732
27, 32, 0.9735
27, 33, 0.9738
27, 34, 0.9721
27, 35, 0.9715
27, 36, 0.9738
27, 37, 0.9732
27, 38, 0.9752
27, 39, 0.9733
27, 40, 0.9720
27, 41, 0.9772
27, 42, 0.9762
28, 0, 0.9733
28, 1, 0.9713
28, 2, 0.9758
28, 3, 0.9726
28, 4, 0.9742
28, 5, 0.9712
28, 6, 0.9742
28, 7, 0.9745
28, 8, 0.9752
28, 9, 0.9751
28, 10, 0.9695
28, 11, 0.9758
28, 12, 0.9746
28, 13, 0.9762
